audio_path,session,dialog,name,start_time,end_time,discrete_emotion,V,A,D,transcription
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,Session1,Ses01F_impro01,Ses01F_impro01_F000,6.2901,8.2357,neu,2.5000,2.5000,2.5000,Excuse me.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,Session1,Ses01F_impro01,Ses01F_impro01_F001,10.0100,11.3925,neu,2.5000,2.5000,2.5000,Yeah.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,Session1,Ses01F_impro01,Ses01F_impro01_F002,14.8872,18.0175,neu,2.5000,2.5000,2.5000,Is there a problem?
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F003.wav,Session1,Ses01F_impro01,Ses01F_impro01_F003,19.2900,20.7875,xxx,2.5000,3.0000,3.0000,You did.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F004.wav,Session1,Ses01F_impro01,Ses01F_impro01_F004,21.3257,24.7400,xxx,2.5000,3.0000,2.5000,You were standing at the beginning and you directed me.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,Session1,Ses01F_impro01,Ses01F_impro01_F005,27.4600,31.4900,neu,2.5000,3.5000,2.0000,Well what's the problem?  Let me change it.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,Session1,Ses01F_impro01,Ses01F_impro01_F006,38.9650,43.5900,fru,2.0000,3.5000,3.5000,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,Session1,Ses01F_impro01,Ses01F_impro01_F007,46.5800,52.1900,fru,2.5000,3.5000,3.5000,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,Session1,Ses01F_impro01,Ses01F_impro01_F008,56.1600,58.8225,fru,2.0000,3.5000,3.5000,I'm here to get an ID.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,Session1,Ses01F_impro01,Ses01F_impro01_F009,61.8700,65.9700,fru,2.0000,3.5000,3.0000,Like what?  Like a birth certificate?
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F010.wav,Session1,Ses01F_impro01,Ses01F_impro01_F010,66.4200,69.3400,xxx,1.5000,3.5000,3.5000,Who the hell has a birth certificate?
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,Session1,Ses01F_impro01,Ses01F_impro01_F011,72.4500,82.2600,fru,2.0000,3.5000,3.5000,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?"
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,Session1,Ses01F_impro01,Ses01F_impro01_F012,85.2700,88.0200,ang,2.0000,3.5000,3.5000,That's out of control.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav,Session1,Ses01F_impro01,Ses01F_impro01_F013,93.6700,97.0218,fru,2.0000,4.0000,3.5000,How long have you been working here?
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,Session1,Ses01F_impro01,Ses01F_impro01_F014,97.8900,102.9600,neu,2.5000,3.5000,3.5000,"Clearly.  You know, do you have like a supervisor or something?"
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav,Session1,Ses01F_impro01,Ses01F_impro01_F015,103.9700,106.7100,fru,2.0000,3.5000,3.0000,That would - I would appreciate that.  Yeah.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav,Session1,Ses01F_impro01,Ses01F_impro01_M000,7.5712,10.4750,fru,2.5000,2.0000,2.5000,Do you have your forms?
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav,Session1,Ses01F_impro01,Ses01F_impro01_M001,10.9266,14.6649,fru,2.5000,2.0000,2.5000,Let me see them.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav,Session1,Ses01F_impro01,Ses01F_impro01_M002,16.8352,19.7175,fru,2.0000,3.5000,3.5000,Who told you to get in this line?
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav,Session1,Ses01F_impro01,Ses01F_impro01_M003,23.4700,28.0300,fru,2.5000,3.5000,3.5000,Okay. But I didn't tell you to get in this line if you are filling out this particular form.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav,Session1,Ses01F_impro01,Ses01F_impro01_M004,28.3950,31.2117,fru,2.0000,4.0000,3.5000,This form is a Z.X.four.
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav,Session1,Ses01F_impro01,Ses01F_impro01_M005,31.2660,39.3875,fru,2.0000,3.5000,3.5000,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID."
/tmp/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav,Session1,Ses01F_impro01,Ses01F_impro01_M006,41.2300,46.9800,fru,2.0000,3.5000,3.5000,No. I need another set of ID to prove this is actually you.
